Date and Time,Billing Month,BOTOLAN,OLONGAPO
12/26/23 0:05,January,18.25,18.14
12/26/23 0:10,January,4.73,4.70
12/26/23 0:15,January,4.12,4.09
12/26/23 0:20,January,3.46,3.44
12/26/23 0:25,January,3.46,3.44
12/26/23 0:30,January,3.49,3.46
12/26/23 0:35,January,3.44,3.42
12/26/23 0:40,January,3.15,3.13
12/26/23 0:45,January,3.09,3.07
12/26/23 0:50,January,3.09,3.08
12/26/23 0:55,January,3.05,3.03
12/26/23 1:00,January,2.97,2.95
12/26/23 1:05,January,4.12,4.10
12/26/23 1:10,January,3.65,3.63
12/26/23 1:15,January,3.65,3.63
12/26/23 1:20,January,3.46,3.44
12/26/23 1:25,January,3.44,3.41
12/26/23 1:30,January,2.97,2.95
12/26/23 1:35,January,2.97,2.95
12/26/23 1:40,January,2.91,2.89
12/26/23 1:45,January,2.61,2.60
12/26/23 1:50,January,2.75,2.74
12/26/23 1:55,January,2.81,2.79
12/26/23 2:00,January,2.76,2.75
12/26/23 2:05,January,0.09,0.09
12/26/23 2:10,January,0.10,0.10
12/26/23 2:15,January,0.10,0.10
12/26/23 2:20,January,0.10,0.10
12/26/23 2:25,January,0.10,0.10
12/26/23 2:30,January,0.10,0.10
12/26/23 2:35,January,2.70,2.69
12/26/23 2:40,January,2.70,2.69
12/26/23 2:45,January,2.70,2.69
12/26/23 2:50,January,2.96,2.94
12/26/23 2:55,January,2.72,2.71
12/26/23 3:00,January,2.78,2.77
12/26/23 3:05,January,2.72,2.71
12/26/23 3:10,January,2.80,2.79
12/26/23 3:15,January,2.80,2.79
12/26/23 3:20,January,2.83,2.82
12/26/23 3:25,January,2.97,2.96
12/26/23 3:30,January,2.81,2.80
12/26/23 3:35,January,2.97,2.96
12/26/23 3:40,January,2.97,2.97
12/26/23 3:45,January,2.98,2.97
12/26/23 3:50,January,2.98,2.97
12/26/23 3:55,January,2.98,2.97
12/26/23 4:00,January,2.98,2.97
12/26/23 4:05,January,3.49,3.48
12/26/23 4:10,January,3.34,3.33
12/26/23 4:15,January,3.49,3.48
12/26/23 4:20,January,3.49,3.48
12/26/23 4:25,January,3.42,3.42
12/26/23 4:30,January,3.51,3.51
12/26/23 4:35,January,3.51,3.50
12/26/23 4:40,January,3.51,3.50
12/26/23 4:45,January,3.51,3.50
12/26/23 4:50,January,3.49,3.48
12/26/23 4:55,January,3.51,3.50
12/26/23 5:00,January,3.50,3.49
12/26/23 5:05,January,4.39,4.38
12/26/23 5:10,January,3.65,3.64
12/26/23 5:15,January,3.60,3.59
12/26/23 5:20,January,3.64,3.63
12/26/23 5:25,January,3.57,3.56
12/26/23 5:30,January,3.64,3.63
12/26/23 5:35,January,3.69,3.68
12/26/23 5:40,January,3.64,3.63
