Date and Time,Billing Month,BOTOLAN,OLONGAPO
07/26/2024 0:05,August,3.73,3.7
07/26/2024 0:10,August,3.43,3.4
07/26/2024 0:15,August,3.43,3.4
07/26/2024 0:20,August,3.3,3.27
07/26/2024 0:25,August,3.43,3.4
07/26/2024 0:30,August,3.21,3.18
07/26/2024 0:35,August,3.26,3.23
07/26/2024 0:40,August,3.29,3.26
07/26/2024 0:45,August,2.93,2.9
07/26/2024 0:50,August,2.93,2.9
07/26/2024 0:55,August,3.23,3.2
07/26/2024 1:00,August,3.24,3.21
07/26/2024 1:05,August,3.42,3.39
07/26/2024 1:10,August,3.42,3.39
07/26/2024 1:15,August,3.27,3.24
07/26/2024 1:20,August,3.27,3.24
07/26/2024 1:25,August,3.26,3.23
07/26/2024 1:30,August,3.27,3.24
07/26/2024 1:35,August,3.2,3.17
07/26/2024 1:40,August,3.05,3.02
07/26/2024 1:45,August,2.92,2.9
07/26/2024 1:50,August,2.92,2.9
07/26/2024 1:55,August,2.92,2.9
07/26/2024 2:00,August,2.83,2.81
07/26/2024 2:05,August,2.92,2.9
07/26/2024 2:10,August,3.2,3.17
07/26/2024 2:15,August,2.92,2.9
07/26/2024 2:20,August,2.92,2.9
07/26/2024 2:25,August,3.1,3.08
07/26/2024 2:30,August,3.02,3
07/26/2024 2:35,August,2.63,2.61
07/26/2024 2:40,August,2.93,2.9
07/26/2024 2:45,August,2.82,2.8
07/26/2024 2:50,August,2.51,2.49
07/26/2024 2:55,August,2.82,2.8
07/26/2024 3:00,August,2.92,2.9
07/26/2024 3:05,August,2.75,2.73
07/26/2024 3:10,August,2.92,2.9
07/26/2024 3:15,August,2.92,2.9
07/26/2024 3:20,August,3.02,3
07/26/2024 3:25,August,2.92,2.9
07/26/2024 3:30,August,2.82,2.8
07/26/2024 3:35,August,2.81,2.8
07/26/2024 3:40,August,2.81,2.8
07/26/2024 3:45,August,2.81,2.8
07/26/2024 3:50,August,3.24,3.22
07/26/2024 3:55,August,3.42,3.4
07/26/2024 4:00,August,3.25,3.23
07/26/2024 4:05,August,3.12,3.09
07/26/2024 4:10,August,3.02,3
07/26/2024 4:15,August,2.92,2.9
07/26/2024 4:20,August,2.92,2.9
07/26/2024 4:25,August,2.92,2.9
07/26/2024 4:30,August,3.02,3
07/26/2024 4:35,August,2.92,2.9
07/26/2024 4:40,August,3.02,3
07/26/2024 4:45,August,3.02,3
07/26/2024 4:50,August,3.03,3
07/26/2024 4:55,August,3.19,3.17
07/26/2024 5:00,August,3.42,3.4
07/26/2024 5:05,August,0.11,0.11
07/26/2024 5:10,August,2.92,2.9
07/26/2024 5:15,August,3.17,3.14
07/26/2024 5:20,August,3.25,3.23
07/26/2024 5:25,August,3.24,3.21
07/26/2024 5:30,August,2.82,2.8
07/26/2024 5:35,August,2.92,2.9
07/26/2024 5:40,August,3.01,2.99
07/26/2024 5:45,August,3,2.98
07/26/2024 5:50,August,3.57,3.54
07/26/2024 5:55,August,3.4,3.37
07/26/2024 6:00,August,3.26,3.23
07/26/2024 6:05,August,0.11,0.1
07/26/2024 6:10,August,2.71,2.7
07/26/2024 6:15,August,2.93,2.91
07/26/2024 6:20,August,2.82,2.8
07/26/2024 6:25,August,2.92,2.9
07/26/2024 6:30,August,2.82,2.8
07/26/2024 6:35,August,2.82,2.8
07/26/2024 6:40,August,2.92,2.9
07/26/2024 6:45,August,2.92,2.9
07/26/2024 6:50,August,2.81,2.8
07/26/2024 6:55,August,2.92,2.9
07/26/2024 7:00,August,3.17,3.15
07/26/2024 7:05,August,0.11,0.1
07/26/2024 7:10,August,2.67,2.65
07/26/2024 7:15,August,2.91,2.89
07/26/2024 7:20,August,2.91,2.89
07/26/2024 7:25,August,3.42,3.4
07/26/2024 7:30,August,3.23,3.21
07/26/2024 7:35,August,3.42,3.39
07/26/2024 7:40,August,3.07,3.05
07/26/2024 7:45,August,3.07,3.05
07/26/2024 7:50,August,3.22,3.2
07/26/2024 7:55,August,3.51,3.48
07/26/2024 8:00,August,5.94,5.9
07/26/2024 8:05,August,3.36,3.33
07/26/2024 8:10,August,3.68,3.65
07/26/2024 8:15,August,3.52,3.49
07/26/2024 8:20,August,2.92,2.89
07/26/2024 8:25,August,3.23,3.21
07/26/2024 8:30,August,3.41,3.38
07/26/2024 8:35,August,3.26,3.23
07/26/2024 8:40,August,5.13,5.09
07/26/2024 8:45,August,3.7,3.67
07/26/2024 8:50,August,3.68,3.65
07/26/2024 8:55,August,3.68,3.66
07/26/2024 9:00,August,3.42,3.39
07/26/2024 9:05,August,0.09,0.09
07/26/2024 9:10,August,2.69,2.68
