Date and Time,Billing Month,BOTOLAN,OLONGAPO
05/26/2024 0:05,June,28.85,28.36
05/26/2024 0:10,June,5.3,5.21
05/26/2024 0:15,June,5.31,5.22
05/26/2024 0:20,June,5.29,5.2
05/26/2024 0:25,June,5.29,5.2
05/26/2024 0:30,June,5.28,5.19
05/26/2024 0:35,June,5.27,5.19
05/26/2024 0:40,June,5.26,5.18
05/26/2024 0:45,June,5.23,5.14
05/26/2024 0:50,June,5.25,5.17
05/26/2024 0:55,June,5.24,5.16
05/26/2024 1:00,June,4.93,4.85
05/26/2024 1:05,June,11.55,11.37
05/26/2024 1:10,June,5.24,5.16
05/26/2024 1:15,June,5.23,5.15
05/26/2024 1:20,June,5.24,5.16
05/26/2024 1:25,June,5.15,5.07
05/26/2024 1:30,June,5.22,5.14
05/26/2024 1:35,June,4.37,4.31
05/26/2024 1:40,June,4.37,4.3
05/26/2024 1:45,June,4.34,4.28
05/26/2024 1:50,June,4.34,4.28
05/26/2024 1:55,June,4.34,4.27
05/26/2024 2:00,June,4.35,4.28
05/26/2024 2:05,June,4.35,4.28
05/26/2024 2:10,June,4.33,4.27
05/26/2024 2:15,June,4.34,4.28
05/26/2024 2:20,June,4.34,4.28
05/26/2024 2:25,June,4.33,4.27
05/26/2024 2:30,June,4.34,4.27
05/26/2024 2:35,June,4.32,4.26
05/26/2024 2:40,June,4.34,4.27
05/26/2024 2:45,June,4.32,4.26
05/26/2024 2:50,June,4.32,4.26
05/26/2024 2:55,June,4.24,4.18
05/26/2024 3:00,June,4.24,4.18
05/26/2024 3:05,June,4.31,4.24
05/26/2024 3:10,June,4.24,4.18
05/26/2024 3:15,June,4.33,4.27
05/26/2024 3:20,June,3.06,3.02
05/26/2024 3:25,June,4.13,4.07
05/26/2024 3:30,June,4.19,4.13
05/26/2024 3:35,June,4.19,4.13
05/26/2024 3:40,June,3.8,3.74
05/26/2024 3:45,June,3.78,3.73
05/26/2024 3:50,June,4.16,4.11
05/26/2024 3:55,June,3.68,3.63
05/26/2024 4:00,June,3.67,3.63
05/26/2024 4:05,June,3.68,3.62
05/26/2024 4:10,June,4.15,4.1
05/26/2024 4:15,June,3.87,3.82
05/26/2024 4:20,June,3.69,3.64
05/26/2024 4:25,June,3.75,3.7
05/26/2024 4:30,June,3.69,3.64
05/26/2024 4:35,June,4.16,4.1
05/26/2024 4:40,June,3.75,3.69
05/26/2024 4:45,June,3.67,3.62
05/26/2024 4:50,June,33.44,32.97
05/26/2024 4:55,June,33.53,33.06
05/26/2024 5:00,June,28.96,28.52
05/26/2024 5:05,June,13.31,13.11
05/26/2024 5:10,June,5.28,5.2
05/26/2024 5:15,June,5.28,5.21
05/26/2024 5:20,June,4.38,4.32
05/26/2024 5:25,June,4.45,4.39
05/26/2024 5:30,June,4.65,4.59
05/26/2024 5:35,June,5.26,5.19
05/26/2024 5:40,June,4.36,4.31
05/26/2024 5:45,June,4.55,4.5
05/26/2024 5:50,June,4.35,4.3
05/26/2024 5:55,June,4.25,4.2
05/26/2024 6:00,June,4.24,4.19
05/26/2024 6:05,June,2.86,2.83
05/26/2024 6:10,June,3.08,3.05
05/26/2024 6:15,June,3.26,3.22
05/26/2024 6:20,June,3.26,3.22
05/26/2024 6:25,June,2.85,2.82
05/26/2024 6:30,June,2.85,2.82
05/26/2024 6:35,June,2.71,2.68
05/26/2024 6:40,June,2.63,2.6
05/26/2024 6:45,June,2.85,2.82
05/26/2024 6:50,June,0,0
05/26/2024 6:55,June,2.84,2.81
05/26/2024 7:00,June,3.45,3.42
05/26/2024 7:05,June,2.62,2.6
05/26/2024 7:10,June,3.08,3.05
05/26/2024 7:15,June,3.12,3.1
05/26/2024 7:20,June,2.83,2.81
05/26/2024 7:25,June,3.24,3.21
05/26/2024 7:30,June,2.83,2.81
05/26/2024 7:35,June,2.83,2.81
05/26/2024 7:40,June,2.83,2.81
05/26/2024 7:45,June,2.48,2.46
05/26/2024 7:50,June,2.61,2.59
05/26/2024 7:55,June,3.1,3.09
05/26/2024 8:00,June,3.74,3.73
05/26/2024 8:05,June,2.64,2.63
05/26/2024 8:10,June,2.97,2.97
05/26/2024 8:15,June,2.82,2.81
05/26/2024 8:20,June,2.1,2.1
05/26/2024 8:25,June,2.59,2.59
05/26/2024 8:30,June,3.13,3.12
05/26/2024 8:35,June,2.83,2.82
05/26/2024 8:40,June,2.83,2.82
05/26/2024 8:45,June,2.71,2.7
05/26/2024 8:50,June,3.12,3.1
05/26/2024 8:55,June,3.12,3.1
05/26/2024 9:00,June,3.12,3.1
05/26/2024 9:05,June,3.24,3.21
05/26/2024 9:10,June,3.13,3.11
05/26/2024 9:15,June,3.12,3.09
05/26/2024 9:20,June,3.71,3.68
05/26/2024 9:25,June,3.72,3.69
05/26/2024 9:30,June,3.72,3.69
05/26/2024 9:35,June,3.63,3.61
05/26/2024 9:40,June,33.11,32.9
05/26/2024 9:45,June,5.14,5.11
05/26/2024 9:50,June,4.18,4.15
05/26/2024 9:55,June,4.27,4.24
05/26/2024 10:00,June,4.26,4.24
05/26/2024 10:05,June,3.62,3.6
05/26/2024 10:10,June,4.13,4.11
05/26/2024 10:15,June,4.12,4.1
05/26/2024 10:20,June,4.29,4.26
05/26/2024 10:25,June,4.29,4.27
05/26/2024 10:30,June,4.26,4.23
05/26/2024 10:35,June,4.25,4.22
05/26/2024 10:40,June,3.42,3.41
05/26/2024 10:45,June,4.14,4.12
05/26/2024 10:50,June,4.13,4.12
05/26/2024 10:55,June,4.13,4.12
05/26/2024 11:00,June,4.39,4.38
05/26/2024 11:05,June,2.46,2.46
05/26/2024 11:10,June,3.42,3.41
05/26/2024 11:15,June,3.24,3.23
05/26/2024 11:20,June,3.22,3.21
05/26/2024 11:25,June,3.71,3.7
05/26/2024 11:30,June,3.69,3.68
05/26/2024 11:35,June,3.42,3.4
05/26/2024 11:40,June,3.42,3.41
05/26/2024 11:45,June,3.71,3.7
05/26/2024 11:50,June,3.72,3.71
05/26/2024 11:55,June,3.23,3.22
05/26/2024 12:00,June,3.43,3.41
05/26/2024 12:05,June,4.09,4.08
05/26/2024 12:10,June,3.99,3.97
05/26/2024 12:15,June,4.1,4.08
05/26/2024 12:20,June,3.87,3.85
05/26/2024 12:25,June,3.77,3.76
05/26/2024 12:30,June,3.99,3.98
05/26/2024 12:35,June,3.79,3.77
05/26/2024 12:40,June,4.15,4.13
05/26/2024 12:45,June,4.16,4.14
05/26/2024 12:50,June,4.29,4.27
05/26/2024 12:55,June,4.16,4.14
05/26/2024 13:00,June,4.19,4.17
05/26/2024 13:05,June,5.08,5.06
05/26/2024 13:10,June,3.25,3.22
05/26/2024 13:15,June,4.27,4.22
05/26/2024 13:20,June,28.51,28.16
05/26/2024 13:25,June,5.13,5.07
05/26/2024 13:30,June,3.27,3.23
05/26/2024 13:35,June,28.48,28.27
05/26/2024 13:40,June,5.16,5.13
05/26/2024 13:45,June,5.16,5.13
05/26/2024 13:50,June,5.16,5.13
05/26/2024 13:55,June,5.15,5.12
05/26/2024 14:00,June,5.14,5.11
05/26/2024 14:05,June,5.17,5.13
05/26/2024 14:10,June,4,3.98
05/26/2024 14:15,June,4.26,4.23
05/26/2024 14:20,June,4.25,4.22
05/26/2024 14:25,June,4.26,4.23
05/26/2024 14:30,June,4.26,4.23
05/26/2024 14:35,June,5.12,5.08
05/26/2024 14:40,June,5.12,5.07
05/26/2024 14:45,June,5.12,5.08
05/26/2024 14:50,June,5.12,5.07
05/26/2024 14:55,June,5.32,5.27
05/26/2024 15:00,June,5.14,5.1
05/26/2024 15:05,June,5.14,5.09
05/26/2024 15:10,June,5.14,5.09
05/26/2024 15:15,June,5.14,5.09
05/26/2024 15:20,June,4.28,4.24
05/26/2024 15:25,June,4.28,4.24
05/26/2024 15:30,June,4.27,4.24
05/26/2024 15:35,June,4.27,4.24
05/26/2024 15:40,June,4.27,4.24
05/26/2024 15:45,June,3.6,3.57
05/26/2024 15:50,June,4.26,4.23
05/26/2024 15:55,June,4.18,4.15
05/26/2024 16:00,June,4.18,4.15
05/26/2024 16:05,June,4.18,4.15
05/26/2024 16:10,June,4.18,4.15
05/26/2024 16:15,June,4.18,4.15
05/26/2024 16:20,June,4.18,4.15
05/26/2024 16:25,June,4.18,4.15
05/26/2024 16:30,June,4.18,4.15
05/26/2024 16:35,June,5.17,5.12
05/26/2024 16:40,June,5.15,5.1
05/26/2024 16:45,June,4.29,4.25
05/26/2024 16:50,June,4.29,4.25
05/26/2024 16:55,June,4.29,4.25
05/26/2024 17:00,June,5.15,5.1
05/26/2024 17:05,June,5.16,5.11
05/26/2024 17:10,June,5.15,5.1
05/26/2024 17:15,June,5.29,5.24
05/26/2024 17:20,June,5.21,5.15
05/26/2024 17:25,June,5.18,5.13
05/26/2024 17:30,June,5.33,5.27
05/26/2024 17:35,June,5.21,5.16
05/26/2024 17:40,June,5.21,5.15
05/26/2024 17:45,June,5.21,5.15
05/26/2024 17:50,June,5.49,5.42
05/26/2024 17:55,June,5.47,5.41
05/26/2024 18:00,June,5.44,5.37
05/26/2024 18:05,June,9.01,8.9
05/26/2024 18:10,June,11.78,11.63
05/26/2024 18:15,June,11.72,11.56
05/26/2024 18:20,June,11.75,11.59
05/26/2024 18:25,June,18.64,18.37
05/26/2024 18:30,June,17.74,17.48
05/26/2024 18:35,June,17.71,17.46
05/26/2024 18:40,June,17.67,17.41
05/26/2024 18:45,June,14.93,14.71
05/26/2024 18:50,June,15.65,15.41
05/26/2024 18:55,June,17.06,16.8
05/26/2024 19:00,June,16.68,16.43
05/26/2024 19:05,June,16.57,16.32
05/26/2024 19:10,June,16.49,16.23
05/26/2024 19:15,June,16.64,16.38
05/26/2024 19:20,June,16.82,16.56
05/26/2024 19:25,June,17.04,16.77
05/26/2024 19:30,June,17.16,16.89
05/26/2024 19:35,June,17.08,16.81
05/26/2024 19:40,June,28.77,28.31
05/26/2024 19:45,June,28.62,28.18
05/26/2024 19:50,June,28.61,28.17
05/26/2024 19:55,June,28.64,28.2
05/26/2024 20:00,June,28.62,28.17
05/26/2024 20:05,June,28.7,28.26
05/26/2024 20:10,June,12.2,12.01
05/26/2024 20:15,June,12.23,12.04
05/26/2024 20:20,June,28.91,28.46
05/26/2024 20:25,June,28.94,28.48
05/26/2024 20:30,June,11.7,11.52
05/26/2024 20:35,June,11.92,11.73
