Date and Time,Billing Month,BOTOLAN,OLONGAPO
9/26/2024 0:05,October,11.17,11.07
9/26/2024 0:10,October,5.79,5.74
9/26/2024 0:15,October,5.38,5.33
9/26/2024 0:20,October,4.62,4.57
9/26/2024 0:25,October,3.46,3.43
9/26/2024 0:30,October,3.46,3.43
9/26/2024 0:35,October,3.46,3.43
9/26/2024 0:40,October,3.55,3.51
9/26/2024 0:45,October,3.55,3.51
9/26/2024 0:50,October,3.55,3.51
9/26/2024 0:55,October,3.47,3.43
9/26/2024 1:00,October,3.55,3.51
9/26/2024 1:05,October,3.8,3.76
9/26/2024 1:10,October,3.65,3.61
9/26/2024 1:15,October,3.66,3.61
9/26/2024 1:20,October,3.47,3.43
9/26/2024 1:25,October,3.46,3.42
9/26/2024 1:30,October,3.47,3.43
9/26/2024 1:35,October,3.46,3.42
9/26/2024 1:40,October,3.38,3.34
9/26/2024 1:45,October,3.14,3.11
9/26/2024 1:50,October,3.39,3.35
9/26/2024 1:55,October,3.39,3.34
9/26/2024 2:00,October,3.39,3.35
9/26/2024 2:05,October,3.39,3.35
9/26/2024 2:10,October,3.39,3.35
9/26/2024 2:15,October,3.15,3.11
9/26/2024 2:20,October,3.39,3.35
9/26/2024 2:25,October,3.39,3.35
9/26/2024 2:30,October,3.01,2.97
9/26/2024 2:35,October,2.98,2.94
9/26/2024 2:40,October,2.98,2.94
9/26/2024 2:45,October,2.66,2.63
9/26/2024 2:50,October,2.98,2.94
9/26/2024 2:55,October,2.98,2.94
9/26/2024 3:00,October,2.98,2.94
9/26/2024 3:05,October,2.98,2.94
9/26/2024 3:10,October,2.98,2.94
9/26/2024 3:15,October,2.98,2.94
9/26/2024 3:20,October,2.66,2.63
9/26/2024 3:25,October,2.43,2.4
9/26/2024 3:30,October,2.66,2.62
9/26/2024 3:35,October,2.97,2.93
9/26/2024 3:40,October,2.88,2.85
9/26/2024 3:45,October,2.97,2.93
9/26/2024 3:50,October,2.88,2.84
9/26/2024 3:55,October,2.97,2.93
9/26/2024 4:00,October,2.97,2.93
9/26/2024 4:05,October,3.38,3.34
9/26/2024 4:10,October,3.38,3.34
9/26/2024 4:15,October,3.38,3.34
9/26/2024 4:20,October,2.97,2.93
9/26/2024 4:25,October,3,2.96
9/26/2024 4:30,October,3.07,3.03
9/26/2024 4:35,October,3.38,3.34
9/26/2024 4:40,October,3.38,3.34
9/26/2024 4:45,October,3.41,3.37
