Date and Time,Billing Month,BOTOLAN,OLONGAPO
8/26/2024 0:05,September,3.43,3.4
8/26/2024 0:10,September,3.5,3.47
8/26/2024 0:15,September,3.52,3.5
8/26/2024 0:20,September,3.92,3.89
8/26/2024 0:25,September,3.68,3.65
8/26/2024 0:30,September,3.68,3.65
8/26/2024 0:35,September,3.68,3.65
8/26/2024 0:40,September,3.68,3.65
8/26/2024 0:45,September,3.53,3.5
8/26/2024 0:50,September,3.52,3.49
8/26/2024 0:55,September,3.51,3.48
8/26/2024 1:00,September,3.51,3.48
8/26/2024 1:05,September,3.53,3.5
8/26/2024 1:10,September,3.68,3.65
8/26/2024 1:15,September,3.68,3.65
8/26/2024 1:20,September,4.14,4.11
8/26/2024 1:25,September,3.95,3.92
8/26/2024 1:30,September,3.54,3.51
8/26/2024 1:35,September,3.54,3.51
8/26/2024 1:40,September,3.68,3.65
8/26/2024 1:45,September,3.53,3.5
8/26/2024 1:50,September,3.52,3.5
8/26/2024 1:55,September,3.52,3.49
8/26/2024 2:00,September,3.46,3.43
8/26/2024 2:05,September,3.45,3.41
8/26/2024 2:10,September,3.4,3.37
8/26/2024 2:15,September,3.37,3.34
8/26/2024 2:20,September,3.34,3.31
8/26/2024 2:25,September,3.32,3.29
8/26/2024 2:30,September,3.3,3.27
8/26/2024 2:35,September,3.28,3.24
8/26/2024 2:40,September,3.26,3.22
8/26/2024 2:45,September,2.93,2.91
8/26/2024 2:50,September,2.93,2.9
8/26/2024 2:55,September,2.93,2.9
8/26/2024 3:00,September,2.93,2.9
8/26/2024 3:05,September,2.73,2.7
8/26/2024 3:10,September,2.44,2.42
8/26/2024 3:15,September,2.44,2.42
8/26/2024 3:20,September,2.72,2.7
8/26/2024 3:25,September,2.72,2.7
8/26/2024 3:30,September,2.72,2.7
8/26/2024 3:35,September,2.72,2.7
8/26/2024 3:40,September,2.52,2.5
8/26/2024 3:45,September,2.72,2.7
8/26/2024 3:50,September,2.45,2.42
8/26/2024 3:55,September,2.45,2.42
8/26/2024 4:00,September,2.45,2.42
8/26/2024 4:05,September,2.71,2.69
8/26/2024 4:10,September,2.71,2.69
8/26/2024 4:15,September,2.71,2.69
8/26/2024 4:20,September,2.29,2.27
8/26/2024 4:25,September,2.94,2.91
8/26/2024 4:30,September,2.71,2.69
8/26/2024 4:35,September,2.84,2.81
8/26/2024 4:40,September,2.71,2.69
8/26/2024 4:45,September,2.44,2.42
8/26/2024 4:50,September,2.71,2.69
8/26/2024 4:55,September,2.71,2.69
8/26/2024 5:00,September,2.29,2.27
8/26/2024 5:05,September,0,0
8/26/2024 5:10,September,0,0
8/26/2024 5:15,September,0.1,0.1
8/26/2024 5:20,September,2.94,2.92
8/26/2024 5:25,September,2.29,2.27
8/26/2024 5:30,September,2.29,2.27
8/26/2024 5:35,September,2.01,2
8/26/2024 5:40,September,2.44,2.42
8/26/2024 5:45,September,2.29,2.27
8/26/2024 5:50,September,2.01,1.99
8/26/2024 5:55,September,2.29,2.27
8/26/2024 6:00,September,2.29,2.27
8/26/2024 6:05,September,0,0
8/26/2024 6:10,September,0,0
8/26/2024 6:15,September,0,0
8/26/2024 6:20,September,0,0
8/26/2024 6:25,September,0,0
8/26/2024 6:30,September,0,0
8/26/2024 6:35,September,0,0
8/26/2024 6:40,September,0,0
8/26/2024 6:45,September,0,0
8/26/2024 6:50,September,0,0
8/26/2024 6:55,September,0,0
8/26/2024 7:00,September,0,0
8/26/2024 7:05,September,0,0
8/26/2024 7:10,September,0,0
8/26/2024 7:15,September,0,0
8/26/2024 7:20,September,0,0
8/26/2024 7:25,September,0,0
8/26/2024 7:30,September,0,0
8/26/2024 7:35,September,0.1,0.1
8/26/2024 7:40,September,0.1,0.1
8/26/2024 7:45,September,0,0
8/26/2024 7:50,September,1.5,1.5
8/26/2024 7:55,September,2.41,2.4
8/26/2024 8:00,September,2.91,2.9
8/26/2024 8:05,September,0,0
8/26/2024 8:10,September,1.98,1.98
8/26/2024 8:15,September,2.41,2.4
8/26/2024 8:20,September,2.65,2.65
8/26/2024 8:25,September,2.48,2.47
8/26/2024 8:30,September,2.47,2.47
8/26/2024 8:35,September,2.46,2.46
8/26/2024 8:40,September,2.62,2.61
8/26/2024 8:45,September,2.41,2.4
8/26/2024 8:50,September,0,0
8/26/2024 8:55,September,2.44,2.44
8/26/2024 9:00,September,2.89,2.89
8/26/2024 9:05,September,0,0
8/26/2024 9:10,September,0,0
8/26/2024 9:15,September,0,0
8/26/2024 9:20,September,2.25,2.25
8/26/2024 9:25,September,2.25,2.25
8/26/2024 9:30,September,2.44,2.44
8/26/2024 9:35,September,3.17,3.17
8/26/2024 9:40,September,3.07,3.07
8/26/2024 9:45,September,2.89,2.88
8/26/2024 9:50,September,2.89,2.88
8/26/2024 9:55,September,2.94,2.94
8/26/2024 10:00,September,3.21,3.2
8/26/2024 10:05,September,2.76,2.76
8/26/2024 10:10,September,2.84,2.84
8/26/2024 10:15,September,2.88,2.88
8/26/2024 10:20,September,2.91,2.91
