Date and Time,Billing Month,BOTOLAN,OLONGAPO
1/26/2025 0:05,February,4.37,4.33
1/26/2025 0:10,February,3.98,3.95
1/26/2025 0:15,February,3.82,3.78
1/26/2025 0:20,February,3.74,3.7
1/26/2025 0:25,February,3.66,3.63
1/26/2025 0:30,February,3.74,3.71
1/26/2025 0:35,February,3.74,3.71
1/26/2025 0:40,February,3.74,3.7
1/26/2025 0:45,February,3.74,3.7
1/26/2025 0:50,February,3.74,3.7
1/26/2025 0:55,February,3.74,3.7
1/26/2025 1:00,February,3.74,3.7
1/26/2025 1:05,February,3.74,3.7
1/26/2025 1:10,February,3.74,3.7
1/26/2025 1:15,February,3.74,3.7
1/26/2025 1:20,February,3.79,3.75
1/26/2025 1:25,February,3.79,3.74
1/26/2025 1:30,February,3.74,3.7
1/26/2025 1:35,February,3.78,3.73
1/26/2025 1:40,February,3.78,3.74
1/26/2025 1:45,February,3.78,3.73
1/26/2025 1:50,February,3.74,3.7
1/26/2025 1:55,February,3.74,3.7
1/26/2025 2:00,February,3.68,3.64
1/26/2025 2:05,February,3.76,3.72
1/26/2025 2:10,February,1.57,1.56
1/26/2025 2:15,February,3.56,3.52
1/26/2025 2:20,February,3.67,3.63
1/26/2025 2:25,February,3.68,3.64
1/26/2025 2:30,February,3.67,3.63
1/26/2025 2:35,February,3.68,3.64
1/26/2025 2:40,February,3.67,3.63
1/26/2025 2:45,February,3.67,3.63
1/26/2025 2:50,February,3.65,3.62
1/26/2025 2:55,February,3.65,3.62
1/26/2025 3:00,February,3.45,3.42
1/26/2025 3:05,February,3.73,3.69
1/26/2025 3:10,February,3.73,3.69
1/26/2025 3:15,February,3.74,3.7
1/26/2025 3:20,February,3.74,3.7
1/26/2025 3:25,February,3.73,3.7
1/26/2025 3:30,February,3.73,3.7
1/26/2025 3:35,February,3.73,3.7
1/26/2025 3:40,February,3.73,3.7
1/26/2025 3:45,February,3.74,3.7
1/26/2025 3:50,February,3.73,3.7
1/26/2025 3:55,February,3.74,3.7
1/26/2025 4:00,February,3.73,3.7
1/26/2025 4:05,February,3.73,3.7
1/26/2025 4:10,February,3.73,3.7
1/26/2025 4:15,February,3.73,3.7
1/26/2025 4:20,February,3.73,3.7
1/26/2025 4:25,February,3.73,3.7
1/26/2025 4:30,February,3.73,3.7
1/26/2025 4:35,February,3.73,3.7
1/26/2025 4:40,February,3.73,3.7
1/26/2025 4:45,February,3.73,3.7
1/26/2025 4:50,February,3.73,3.7
1/26/2025 4:55,February,3.73,3.7
1/26/2025 5:00,February,2.97,2.94
1/26/2025 5:05,February,3.68,3.64
1/26/2025 5:10,February,3.73,3.69
1/26/2025 5:15,February,3.73,3.7
1/26/2025 5:20,February,3.73,3.7
1/26/2025 5:25,February,3.73,3.7
1/26/2025 5:30,February,3.11,3.08
1/26/2025 5:35,February,3.2,3.17
1/26/2025 5:40,February,3.61,3.58
1/26/2025 5:45,February,3.62,3.59
1/26/2025 5:50,February,3.63,3.59
1/26/2025 5:55,February,3.62,3.59
1/26/2025 6:00,February,3.61,3.58
1/26/2025 6:05,February,3.61,3.58
1/26/2025 6:10,February,3.61,3.58
1/26/2025 6:15,February,3.62,3.59
1/26/2025 6:20,February,3.61,3.58
1/26/2025 6:25,February,3.62,3.59
1/26/2025 6:30,February,3.61,3.58
1/26/2025 6:35,February,3.61,3.58
1/26/2025 6:40,February,3.63,3.6
1/26/2025 6:45,February,3.61,3.58
1/26/2025 6:50,February,3.6,3.57
1/26/2025 6:55,February,3.6,3.57
1/26/2025 7:00,February,2.68,2.66
1/26/2025 7:05,February,2.88,2.86
1/26/2025 7:10,February,3.01,3
1/26/2025 7:15,February,2.94,2.93
1/26/2025 7:20,February,1.59,1.58
1/26/2025 7:25,February,2.9,2.88
1/26/2025 7:30,February,2.67,2.66
1/26/2025 7:35,February,2.67,2.66
1/26/2025 7:40,February,2.67,2.66
1/26/2025 7:45,February,2.67,2.66
1/26/2025 7:50,February,2.67,2.66
1/26/2025 7:55,February,2.77,2.77
1/26/2025 8:00,February,2.82,2.81
1/26/2025 8:05,February,0.1,0.1
1/26/2025 8:10,February,1.58,1.57
1/26/2025 8:15,February,2.65,2.65
1/26/2025 8:20,February,1.57,1.57
1/26/2025 8:25,February,2.3,2.3
1/26/2025 8:30,February,2.32,2.32
1/26/2025 8:35,February,2.07,2.08
1/26/2025 8:40,February,2.03,2.04
1/26/2025 8:45,February,2.13,2.14
1/26/2025 8:50,February,2.24,2.25
1/26/2025 8:55,February,2.36,2.37
1/26/2025 9:00,February,2.92,2.94
1/26/2025 9:05,February,2.63,2.64
1/26/2025 9:10,February,2.39,2.4
1/26/2025 9:15,February,2.62,2.64
1/26/2025 9:20,February,2.77,2.79
1/26/2025 9:25,February,2.77,2.79
1/26/2025 9:30,February,2.63,2.64
1/26/2025 9:35,February,2.79,2.8
1/26/2025 9:40,February,2.63,2.64
1/26/2025 9:45,February,2.63,2.65
1/26/2025 9:50,February,2.79,2.81
1/26/2025 9:55,February,2.27,2.28
1/26/2025 10:00,February,2.85,2.87
1/26/2025 10:05,February,2.63,2.65
1/26/2025 10:10,February,2.93,2.95
1/26/2025 10:15,February,2.85,2.87
1/26/2025 10:20,February,2.93,2.94
1/26/2025 10:25,February,2.81,2.83
1/26/2025 10:30,February,2.77,2.78
1/26/2025 10:35,February,2.8,2.82
