Date and Time,Billing Month,BOTOLAN,OLONGAPO
12/26/2024 0:05,January,0,0
12/26/2024 0:10,January,0,0
12/26/2024 0:15,January,0,0
12/26/2024 0:20,January,0,0
12/26/2024 0:25,January,0,0
12/26/2024 0:30,January,-0.01,-0.01
12/26/2024 0:35,January,-1,-0.99
12/26/2024 0:40,January,-1,-0.99
12/26/2024 0:45,January,-1,-0.99
12/26/2024 0:50,January,-1,-0.99
12/26/2024 0:55,January,-1.49,-1.49
12/26/2024 1:00,January,-1.49,-1.49
12/26/2024 1:05,January,-1.49,-1.49
12/26/2024 1:10,January,-0.5,-0.49
12/26/2024 1:15,January,-0.5,-0.49
12/26/2024 1:20,January,-0.5,-0.49
12/26/2024 1:25,January,-9.98,-9.93
12/26/2024 1:30,January,-9.98,-9.93
12/26/2024 1:35,January,-9.97,-9.92
12/26/2024 1:40,January,-9.97,-9.92
12/26/2024 1:45,January,-9.97,-9.92
12/26/2024 1:50,January,-9.98,-9.93
12/26/2024 1:55,January,-9.97,-9.92
12/26/2024 2:00,January,-9.96,-9.92
12/26/2024 2:05,January,-9.97,-9.92
12/26/2024 2:10,January,-9.96,-9.91
12/26/2024 2:15,January,-9.94,-9.9
12/26/2024 2:20,January,-9.94,-9.89
12/26/2024 2:25,January,-9.94,-9.9
12/26/2024 2:30,January,-9.94,-9.9
12/26/2024 2:35,January,-9.94,-9.9
12/26/2024 2:40,January,-9.93,-9.89
12/26/2024 2:45,January,-9.93,-9.89
12/26/2024 2:50,January,-9.93,-9.88
12/26/2024 2:55,January,-9.92,-9.88
12/26/2024 3:00,January,-9.92,-9.88
12/26/2024 3:05,January,-9.92,-9.87
12/26/2024 3:10,January,-9.92,-9.88
12/26/2024 3:15,January,-9.93,-9.88
12/26/2024 3:20,January,-9.31,-9.27
12/26/2024 3:25,January,-9.52,-9.48
12/26/2024 3:30,January,-9.48,-9.44
12/26/2024 3:35,January,-9.46,-9.42
12/26/2024 3:40,January,-9.4,-9.36
12/26/2024 3:45,January,-9.51,-9.46
12/26/2024 3:50,January,-9.52,-9.48
12/26/2024 3:55,January,-9.47,-9.43
12/26/2024 4:00,January,-9.53,-9.49
12/26/2024 4:05,January,-9.48,-9.43
12/26/2024 4:10,January,-9.51,-9.46
12/26/2024 4:15,January,-9.49,-9.44
12/26/2024 4:20,January,-9.39,-9.34
12/26/2024 4:25,January,0,0
12/26/2024 4:30,January,0,0
12/26/2024 4:35,January,0,0
12/26/2024 4:40,January,0,0
12/26/2024 4:45,January,0,0
12/26/2024 4:50,January,0,0
12/26/2024 4:55,January,-1.01,-1
12/26/2024 5:00,January,-0.01,-0.01
12/26/2024 5:05,January,-1.01,-1
12/26/2024 5:10,January,0,0
12/26/2024 5:15,January,0,0
12/26/2024 5:20,January,0,0
12/26/2024 5:25,January,0,0
12/26/2024 5:30,January,0,0
12/26/2024 5:35,January,0,0
12/26/2024 5:40,January,0,0
12/26/2024 5:45,January,1.03,1.02
12/26/2024 5:50,January,1.08,1.07
12/26/2024 5:55,January,1.08,1.07
12/26/2024 6:00,January,1.24,1.23
12/26/2024 6:05,January,1.03,1.03
12/26/2024 6:10,January,1.08,1.08
12/26/2024 6:15,January,2.36,2.36
12/26/2024 6:20,January,2.68,2.67
12/26/2024 6:25,January,2.11,2.11
12/26/2024 6:30,January,2.37,2.36
12/26/2024 6:35,January,1.03,1.02
12/26/2024 6:40,January,1.03,1.02
12/26/2024 6:45,January,2.69,2.68
12/26/2024 6:50,January,2.11,2.11
