Date and Time,Billing Month,BOTOLAN,OLONGAPO
6/26/2025 0:05,July,3.530852308,3.504840377
6/26/2025 0:10,July,3.571064643,3.543275661
6/26/2025 0:15,July,3.375607327,3.349352603
6/26/2025 0:20,July,3.117520905,3.09296606
6/26/2025 0:25,July,3.440958251,3.413505645
6/26/2025 0:30,July,3.372615948,3.345376244
6/26/2025 0:35,July,3.367873615,3.341360278
6/26/2025 0:40,July,3.423072931,3.395088585
6/26/2025 0:45,July,3.36420403,3.337390863
6/26/2025 0:50,July,3.410874053,3.383003499
6/26/2025 0:55,July,3.365940013,3.339121126
6/26/2025 1:00,July,3.360884286,3.334788885
6/26/2025 1:05,July,3.363768414,3.337647986
6/26/2025 1:10,July,3.365920537,3.339443954
6/26/2025 1:15,July,3.271874002,3.246472278
6/26/2025 1:20,July,3.303245746,3.277600462
6/26/2025 1:25,July,3.269090909,3.24338118
6/26/2025 1:30,July,3.335855401,3.310298445
6/26/2025 1:35,July,3.260701792,3.235725644
6/26/2025 1:40,July,3.298753117,3.273815461
6/26/2025 1:45,July,3.333025404,3.307495276
6/26/2025 1:50,July,2.853479242,2.83248932
6/26/2025 1:55,July,3.251690974,3.227119002
6/26/2025 2:00,July,3.253082373,3.228497409
6/26/2025 2:05,July,2.863484447,2.84271784
6/26/2025 2:10,July,3.330831324,3.306677849
6/26/2025 2:15,July,3.252625462,3.228716323
6/26/2025 2:20,July,3.338263179,3.314060686
6/26/2025 2:25,July,3.188598944,3.166449208
6/26/2025 2:30,July,3.250517205,3.227939624
6/26/2025 2:35,July,3.288043029,3.265204799
6/26/2025 2:40,July,3.287353945,3.264853686
6/26/2025 2:45,July,3.288052136,3.265211544
6/26/2025 2:50,July,2.855437803,2.835891822
6/26/2025 2:55,July,2.865201187,2.845878743
6/26/2025 3:00,July,3.183956998,3.162487079
6/26/2025 3:05,July,3.644137314,3.620297849
6/26/2025 3:10,July,3.334326357,3.312175825
6/26/2025 3:15,July,3.328695938,3.306920048
6/26/2025 3:20,July,3.285298068,3.263477632
6/26/2025 3:25,July,3.284957765,3.26280901
6/26/2025 3:30,July,3.240894266,3.219368753
6/26/2025 3:35,July,3.283245587,3.261443171
6/26/2025 3:40,July,3.18227822,3.161468553
6/26/2025 3:45,July,3.282229363,3.260763933
6/26/2025 3:50,July,3.281552329,3.260091327
6/26/2025 3:55,July,3.283245587,3.261773511
6/26/2025 4:00,July,3.238791382,3.217940095
6/26/2025 4:05,July,4.166046266,4.140904164
6/26/2025 4:10,July,4.15973581,4.134629267
6/26/2025 4:15,July,3.548657496,3.525797498
6/26/2025 4:20,July,3.393333477,3.370447092
6/26/2025 4:25,July,3.392914191,3.370026026
6/26/2025 4:30,July,3.394758629,3.371516222
6/26/2025 4:35,July,3.394716156,3.371129869
6/26/2025 4:40,July,3.3965204,3.372919201
6/26/2025 4:45,July,3.392236025,3.368664596
6/26/2025 4:50,July,3.394705698,3.370777655
6/26/2025 4:55,July,3.039554737,3.019052354
6/26/2025 5:00,July,3.384566409,3.362422793
6/26/2025 5:05,July,3.178589681,3.158115674
6/26/2025 5:10,July,3.383876416,3.362075723
6/26/2025 5:15,July,3.698281353,3.673703107
6/26/2025 5:20,July,3.33403842,3.31188088
6/26/2025 5:25,July,3.410234469,3.386871992
6/26/2025 5:30,July,3.337786646,3.317255741
6/26/2025 5:35,July,3.271772636,3.251661982
6/26/2025 5:40,July,3.281678206,3.260845303
6/26/2025 5:45,July,3.142789542,3.123174789
6/26/2025 5:50,July,3.194784735,3.175812183
6/26/2025 5:55,July,3.217848564,3.198746736
6/26/2025 6:00,July,2.830483291,2.813686016
6/26/2025 6:05,July,-2.05E-01,-2.04E-01
6/26/2025 6:10,July,2.264725271,2.252419458
6/26/2025 6:15,July,2.777538206,2.763284388
6/26/2025 6:20,July,2.82010887,2.806201328
6/26/2025 6:25,July,2.771738979,2.759463537
6/26/2025 6:30,July,2.654560559,2.643603448
6/26/2025 6:35,July,2.253258409,2.245545655
6/26/2025 6:40,July,2.462003936,2.455060331
6/26/2025 6:45,July,2.425602115,2.419980506
6/26/2025 6:50,July,2.75068263,2.745138575
6/26/2025 6:55,July,2.741215391,2.737900073
6/26/2025 7:00,July,2.80062207,2.798363277
6/26/2025 7:05,July,-1.02E-03,-1.02E-03
6/26/2025 7:10,July,-2.06308E-05,-2.06266E-05
6/26/2025 7:15,July,0,0
6/26/2025 7:20,July,2.229160171,2.23299073
6/26/2025 7:25,July,2.834824028,2.841706061
6/26/2025 7:30,July,2.784716746,2.792607857
6/26/2025 7:35,July,3.155370226,3.166554949
6/26/2025 7:40,July,2.797425896,2.809047586
6/26/2025 7:45,July,2.810369181,2.823190209
6/26/2025 7:50,July,2.882406516,2.896143395
6/26/2025 7:55,July,3.210815249,3.22317705
6/26/2025 8:00,July,3.237181845,3.254266333
6/26/2025 8:05,July,2.719084731,2.745992629
6/26/2025 8:10,July,2.932563912,2.963716787
6/26/2025 8:15,July,2.806996438,2.837987607
6/26/2025 8:20,July,3.083717529,3.120323263
6/26/2025 8:25,July,3.285029395,3.325057912
6/26/2025 8:30,July,2.971000705,3.007826262
6/26/2025 8:35,July,2.782948976,2.8177501
6/26/2025 8:40,July,2.759157853,2.7942271
6/26/2025 8:45,July,2.963488934,3.001770624
6/26/2025 8:50,July,2.796280263,2.83326203
6/26/2025 8:55,July,3.2,3.242986054
6/26/2025 9:00,July,3.210637186,3.254771919
6/26/2025 9:05,July,-9.61E-06,-9.72E-06
6/26/2025 9:10,July,2.455664708,2.48399448
6/26/2025 9:15,July,2.750001955,2.783151432
6/26/2025 9:20,July,2.819448705,2.854313631
6/26/2025 9:25,July,2.818366544,2.853225212
6/26/2025 9:30,July,3.200981696,3.240576746
6/26/2025 9:35,July,3.084517928,3.122983755
6/26/2025 9:40,July,2.752839852,2.787728664
6/26/2025 9:45,July,2.977109186,3.014220387
6/26/2025 9:50,July,3.210824159,3.252765733
6/26/2025 9:55,July,3.217765508,3.261093576
6/26/2025 10:00,July,3.185252333,3.227817676
6/26/2025 10:05,July,0,0
6/26/2025 10:10,July,2.745244597,2.781653677
6/26/2025 10:15,July,2.855608822,2.89317879
6/26/2025 10:20,July,2.836201902,2.873813475
6/26/2025 10:25,July,3.216770426,3.259428812
6/26/2025 10:30,July,3.125685239,3.166829463
6/26/2025 10:35,July,3.100291309,3.141105431
6/26/2025 10:40,July,2.985567551,3.025180103
6/26/2025 10:45,July,2.794069312,2.830300352
6/26/2025 10:50,July,2.864662277,2.901804912
6/26/2025 10:55,July,2.844838108,2.882296934
6/26/2025 11:00,July,2.937266958,2.976230703
6/26/2025 11:05,July,2.45491259,2.486752245
