Date and Time,Billing Month,BOTOLAN,OLONGAPO
4/26/2025 0:05,May,12.40472761,12.21978621
4/26/2025 0:10,May,5.975262176,5.886615544
4/26/2025 0:15,May,5.108323091,5.034007164
4/26/2025 0:20,May,4.976050233,4.90607765
4/26/2025 0:25,May,4.988835031,4.919636193
4/26/2025 0:30,May,5.078781177,5.008767792
4/26/2025 0:35,May,5.08042929,5.011339136
4/26/2025 0:40,May,5.191399136,5.121230941
4/26/2025 0:45,May,3.400353625,3.354855936
4/26/2025 0:50,May,3.636430139,3.587051939
4/26/2025 0:55,May,4.980277709,4.911608421
4/26/2025 1:00,May,4.964028842,4.895083997
4/26/2025 1:05,May,8.256559767,8.145772595
4/26/2025 1:10,May,6.356544123,6.274466281
4/26/2025 1:15,May,6.3326356,6.252823193
4/26/2025 1:20,May,5.916478883,5.843701062
4/26/2025 1:25,May,5.91051047,5.837747375
4/26/2025 1:30,May,5.08214943,5.01957149
4/26/2025 1:35,May,4.988705432,4.92676834
4/26/2025 1:40,May,5.075931972,5.01238032
4/26/2025 1:45,May,4.985631361,4.922725948
4/26/2025 1:50,May,3.554833235,3.50965835
4/26/2025 1:55,May,3.555066902,3.50957179
4/26/2025 2:00,May,3.550241262,3.503762776
4/26/2025 2:05,May,3.432079237,3.387219966
4/26/2025 2:10,May,3.540180069,3.494346746
4/26/2025 2:15,May,3.410619518,3.367169957
4/26/2025 2:20,May,3.540899467,3.495880523
4/26/2025 2:25,May,3.544524728,3.499127573
4/26/2025 2:30,May,3.565388746,3.519404428
4/26/2025 2:35,May,3.566440737,3.520461239
4/26/2025 2:40,May,3.564576028,3.518620571
4/26/2025 2:45,May,3.858084055,3.808744984
4/26/2025 2:50,May,4.560664132,4.503724158
4/26/2025 2:55,May,3.643609509,3.600987802
4/26/2025 3:00,May,3.55301618,3.50901598
4/26/2025 3:05,May,3.565545135,3.521398596
4/26/2025 3:10,May,3.621811422,3.576267686
4/26/2025 3:15,May,3.563552023,3.518754302
4/26/2025 3:20,May,3.56605741,3.521255013
4/26/2025 3:25,May,3.514547703,3.470059757
4/26/2025 3:30,May,3.635980808,3.590318136
4/26/2025 3:35,May,3.634823844,3.589909229
4/26/2025 3:40,May,3.634809901,3.589537757
4/26/2025 3:45,May,3.620080363,3.57464455
4/26/2025 3:50,May,3.53016268,3.486215829
4/26/2025 3:55,May,3.529379312,3.484756995
4/26/2025 4:00,May,3.529365952,3.484748246
4/26/2025 4:05,May,3.442821963,3.399966681
4/26/2025 4:10,May,3.441150953,3.39798669
4/26/2025 4:15,May,3.442431663,3.398904302
4/26/2025 4:20,May,3.508696546,3.463959704
4/26/2025 4:25,May,3.435634992,3.391812244
4/26/2025 4:30,May,3.427368664,3.384274317
4/26/2025 4:35,May,3.316996375,3.275898498
4/26/2025 4:40,May,3.419464875,3.377093171
4/26/2025 4:45,May,3.317364277,3.276585164
4/26/2025 4:50,May,3.419473172,3.377434671
4/26/2025 4:55,May,3.317005384,3.276234757
4/26/2025 5:00,May,3.175092856,3.136372212
4/26/2025 5:05,May,0,0
4/26/2025 5:10,May,3.071566906,3.034209598
4/26/2025 5:15,May,3.223323413,3.183803
4/26/2025 5:20,May,3.085203522,3.047065227
4/26/2025 5:25,May,3.076382578,3.038353324
4/26/2025 5:30,May,3.061777974,3.023616417
4/26/2025 5:35,May,2.991736691,2.954742739
4/26/2025 5:40,May,2.98989542,2.952920549
4/26/2025 5:45,May,2.988056047,2.951696299
4/26/2025 5:50,May,2.984152711,2.949591837
4/26/2025 5:55,May,2.762414727,2.731239968
4/26/2025 6:00,May,2.760478291,2.729319162
4/26/2025 6:05,May,-1.03E-05,-1.02E-05
4/26/2025 6:10,May,0,0
4/26/2025 6:15,May,1.566141272,1.550526703
4/26/2025 6:20,May,1.565824136,1.550987382
4/26/2025 6:25,May,0,0
4/26/2025 6:30,May,0,0
4/26/2025 6:35,May,1.566083743,1.553249557
4/26/2025 6:40,May,2.003428687,1.988195012
4/26/2025 6:45,May,2.141443269,2.126219231
4/26/2025 6:50,May,2.232101147,2.217107084
4/26/2025 6:55,May,2.138474311,2.124957316
4/26/2025 7:00,May,2.236486351,2.224122621
4/26/2025 7:05,May,-2.04E-05,-2.03E-05
4/26/2025 7:10,May,0,0
4/26/2025 7:15,May,0,0
4/26/2025 7:20,May,0,0
4/26/2025 7:25,May,0,0
4/26/2025 7:30,May,2.382024017,2.379129992
4/26/2025 7:35,May,2.919651256,2.917872608
4/26/2025 7:40,May,3.114325942,3.114642857
4/26/2025 7:45,May,3.134508349,3.137384045
4/26/2025 7:50,May,2.871024169,2.87541994
4/26/2025 7:55,May,2.909032295,2.915572786
4/26/2025 8:00,May,2.905170456,2.914685855
4/26/2025 8:05,May,0,0
4/26/2025 8:10,May,2.769118374,2.769400591
4/26/2025 8:15,May,2.902728337,2.903616746
4/26/2025 8:20,May,2.872748715,2.874215301
4/26/2025 8:25,May,2.870683606,2.873030853
4/26/2025 8:30,May,2.868336358,2.8703902
4/26/2025 8:35,May,2.72268161,2.725188684
4/26/2025 8:40,May,2.863683892,2.866615292
4/26/2025 8:45,May,2.779090838,2.781652737
4/26/2025 8:50,May,2.857660892,2.859417831
4/26/2025 8:55,May,2.749527997,2.750937433
4/26/2025 9:00,May,2.89802703,2.899512436
4/26/2025 9:05,May,0,0
4/26/2025 9:10,May,2.664726543,2.682664325
4/26/2025 9:15,May,2.364289999,2.380463625
4/26/2025 9:20,May,2.901541019,2.920802364
4/26/2025 9:25,May,2.873307086,2.892090768
4/26/2025 9:30,May,2.871824231,2.890600168
4/26/2025 9:35,May,2.917284385,2.935759711
4/26/2025 9:40,May,3.021866071,3.041329575
4/26/2025 9:45,May,2.888270018,2.908398382
4/26/2025 9:50,May,3.276416393,3.298906615
4/26/2025 9:55,May,3.097080739,3.11900241
4/26/2025 10:00,May,3.085492694,3.107653514
4/26/2025 10:05,May,2.823529412,2.844117647
4/26/2025 10:10,May,2.951190459,2.972402141
4/26/2025 10:15,May,3.037060321,3.058884646
4/26/2025 10:20,May,4.295774667,4.327555432
4/26/2025 10:25,May,3.365349509,3.389906422
4/26/2025 10:30,May,3.089940609,3.112165763
4/26/2025 10:35,May,3.115265139,3.135726118
4/26/2025 10:40,May,2.749385992,2.766564286
4/26/2025 10:45,May,2.982593497,3.001221124
4/26/2025 10:50,May,2.964439663,2.983282095
4/26/2025 10:55,May,3.097329583,3.117018736
4/26/2025 11:00,May,3.099903306,3.11929386
4/26/2025 11:05,May,3.068723995,3.087283535
4/26/2025 11:10,May,3.115588912,3.135075552
4/26/2025 11:15,May,3.116886852,3.135072481
4/26/2025 11:20,May,3.144634412,3.162987672
4/26/2025 11:25,May,3.117873991,3.136397945
4/26/2025 11:30,May,3.117548394,3.136397326
4/26/2025 11:35,May,2.882789191,2.900814134
4/26/2025 11:40,May,2.884588562,2.90322402
4/26/2025 11:45,May,2.884291926,2.903216149
4/26/2025 11:50,May,2.951420419,2.970781049
4/26/2025 11:55,May,2.940216596,2.960105667
4/26/2025 12:00,May,2.88669419,2.905922794
4/26/2025 12:05,May,2.105414383,2.119647553
4/26/2025 12:10,May,2.657042254,2.674748491
4/26/2025 12:15,May,2.183273181,2.197816216
4/26/2025 12:20,May,2.690883744,2.709667783
4/26/2025 12:25,May,2.822958771,2.841484438
4/26/2025 12:30,May,2.719206463,2.737325069
4/26/2025 12:35,May,2.736653623,2.754316805
4/26/2025 12:40,May,3.360255781,3.37946922
4/26/2025 12:45,May,2.822691425,2.84091751
4/26/2025 12:50,May,2.824411765,2.842058824
4/26/2025 12:55,May,2.890901073,2.908664368
4/26/2025 13:00,May,2.892106148,2.90957747
4/26/2025 13:05,May,2.986978667,3.005040047
4/26/2025 13:10,May,2.894218905,2.911408701
4/26/2025 13:15,May,3.997129104,4.02211897
4/26/2025 13:20,May,3.030570535,3.048241501
4/26/2025 13:25,May,3.047541423,3.064042064
4/26/2025 13:30,May,3.05810683,3.074977826
4/26/2025 13:35,May,3.116668411,3.133203321
4/26/2025 13:40,May,2.377838047,2.389952215
4/26/2025 13:45,May,2.895113272,2.909856625
4/26/2025 13:50,May,2.778576517,2.792129142
4/26/2025 13:55,May,2.897812976,2.911637846
4/26/2025 14:00,May,2.899317492,2.912844634
4/26/2025 14:05,May,2.900816258,2.914638254
4/26/2025 14:10,May,2.901116736,2.914938732
4/26/2025 14:15,May,2.901115643,2.915236649
4/26/2025 14:20,May,3.136523053,3.151786729
4/26/2025 14:25,May,2.903220083,2.917342557
4/26/2025 14:30,May,3.011382235,3.025720666
4/26/2025 14:35,May,3.31079613,3.327569188
4/26/2025 14:40,May,3.042425217,3.05627302
4/26/2025 14:45,May,3.873522618,3.890745395
4/26/2025 14:50,May,3.309763228,3.325504451
4/26/2025 14:55,May,3.312505388,3.327565342
4/26/2025 15:00,May,3.128324781,3.141563976
4/26/2025 15:05,May,3.473558431,3.488612549
4/26/2025 15:10,May,3.360596541,3.375143078
4/26/2025 15:15,May,3.440051968,3.454927103
4/26/2025 15:20,May,3.443231914,3.45774986
4/26/2025 15:25,May,3.444302007,3.459531311
4/26/2025 15:30,May,3.362090279,3.375214001
4/26/2025 15:35,May,3.332296427,3.343574969
4/26/2025 15:40,May,3.186018784,3.195807863
4/26/2025 15:45,May,3.455215785,3.465472849
4/26/2025 15:50,May,3.37903624,3.38836773
4/26/2025 15:55,May,3.370112726,3.379412915
4/26/2025 16:00,May,3.366055142,3.374303592
4/26/2025 16:05,May,3.466167897,3.47217941
4/26/2025 16:10,May,3.466843951,3.471438606
4/26/2025 16:15,May,3.375663526,3.378758572
4/26/2025 16:20,May,3.473566147,3.473566147
4/26/2025 16:25,May,3.476047637,3.474633604
4/26/2025 16:30,May,3.479921046,3.474972956
4/26/2025 16:35,May,3.385656875,3.378445313
4/26/2025 16:40,May,3.389784007,3.378801615
4/26/2025 16:45,May,3.367774604,3.356190958
4/26/2025 16:50,May,3.255678302,3.239904349
4/26/2025 16:55,May,3.246377535,3.22773523
4/26/2025 17:00,May,3.195443384,3.175184459
4/26/2025 17:05,May,2.972906378,2.95225496
4/26/2025 17:10,May,3.124386921,3.101441222
4/26/2025 17:15,May,3.128138992,3.102359354
4/26/2025 17:20,May,3.519165562,3.488770037
4/26/2025 17:25,May,3.518682782,3.486906598
4/26/2025 17:30,May,3.514876513,3.479999018
4/26/2025 17:35,May,3.523009369,3.486322379
4/26/2025 17:40,May,3.817914363,3.775518556
4/26/2025 17:45,May,4.697776386,4.643751957
4/26/2025 17:50,May,5.562219641,5.495493023
4/26/2025 17:55,May,5.995894971,5.922182319
4/26/2025 18:00,May,6.003687895,5.925133849
4/26/2025 18:05,May,6.016917176,5.936988092
4/26/2025 18:10,May,6.00970264,5.932200727
4/26/2025 18:15,May,4.233436097,4.178022415
4/26/2025 18:20,May,6.018113701,5.932200727
4/26/2025 18:25,May,6.219568919,6.126508038
4/26/2025 18:30,May,7.917007103,7.796215112
4/26/2025 18:35,May,8.268616747,8.136780307
4/26/2025 18:40,May,6.039200093,5.942929095
